"Host","NumPubs"
"aythya americana",26
"aythya baeri",0
"aythya collaris",13
"aythya ferina",29
"aythya fuligula",56
"aythya marila",34
"aythya nyroca",3
"aythya valisineria",22
"babyrousa babyrussa",26
"baeolophus bicolor",17
"baeolophus inornatus",1
"baiomys taylori",15
"balaena mysticetus",125
"balaenoptera acutorostrata",174
"balaenoptera borealis",57
"balaenoptera edeni",33
"balaenoptera physalus",206
"balearica pavonina",4
"balearica regulorum",7
"balionycteris maculata",0
"bambusicola thoracicus",1
"bandicota bengalensis",82
"bandicota indica",92
"bandicota savilei",22
"barbastella barbastellus",20
"barnardius zonarius",4
"basileuterus culicivorus",11
"bassaricyon gabbii",3
"bassariscus astutus",11
"bathilda ruficauda",0
"beatragus hunteri",1
"berylmys bowersi",4
"bettongia gaimardi",30
"bettongia penicillata",50
"bettongia tropica",4
"bibimys chacoensis",0
"bison bison",1197
"bison bonasus",186
"blarina brevicauda",87
"blastocerus dichotomus",34
"bleda eximius",0
"bolborhynchus lineola",1
"bombycilla cedrorum",12
"bombycilla garrulus",6
"bonasa umbellus",33
"bos frontalis",117
"bos gaurus",64
"bos grunniens",354
"bos indicus",1889
"bos javanicus",77
"bos mutus",22
"bos primigenius",103
"bos taurus",3356
"boselaphus tragocamelus",33
"botaurus lentiginosus",4
"botaurus stellaris",4
"brachylagus idahoensis",24
"brachyteles arachnoides",41
"bradypus tridactylus",43
"bradypus variegatus",60
"branta bernicla",47
"branta canadensis",180
"branta hutchinsii",4
"branta leucopsis",77
"branta ruficollis",3
"branta sandvicensis",9
"brotogeris pyrrhoptera",0
"brotogeris versicolurus",2
"bubalus bubalis",1926
"bubalus carabanensis",4
"bubo bubo",336
"bubo lacteus",1
"bubo scandiacus",16
"bubo sumatranus",0
"bubo virginianus",118
"bubulcus ibis",89
"bucephala albeola",11
"bucephala clangula",34
"bucorvus abyssinicus",2
"budorcas taxicolor",28
"bunomys penitus",1
"burhinus grallarius",1
"burhinus oedicnemus",17
"butastur indicus",5
"buteo brachyurus",1
"buteo buteo",446
"buteo jamaicensis",155
"buteo japonicus",3
"buteo lagopus",19
"buteo lineatus",22
"buteo regalis",14
"buteo rufinus",14
"buteo rufofuscus",1
"buteo swainsoni",25
"buteogallus meridionalis",5
"buteogallus urubitinga",4
"butorides striata",2
"butorides virescens",12
"bycanistes fistulator",0
"cabassous centralis",1
"cacajao calvus",30
"cacatua alba",20
"cacatua ducorpsii",1
"cacatua galerita",42
"cacatua goffiniana",8
"cacatua haematuropygia",0
"cacatua moluccensis",16
"cacatua ophthalmica",0
"cacatua pastinator",0
"cacatua sanguinea",4
"cacatua sulphurea",9
"cacatua tenuirostris",8
"cairina moschata",247
"calandrella cinerea",5
"calidris acuminata",2
"calidris alba",30
"calidris alpina",52
"calidris canutus",114
"calidris ferruginea",7
"calidris fuscicollis",14
"calidris mauri",35
"calidris minuta",5
"calidris minutilla",7
"calidris ptilocnemis",2
"calidris pugnax",4
"calidris pusilla",43
"calidris pygmaea",0
"calidris ruficollis",14
"callicebus dubius",4
"callicebus personatus",12
"callimico goeldii",88
"calliope calliope",16
"callipepla californica",19
"callipepla gambelii",16
"callithrix geoffroyi",55
"callithrix jacchus",2086
"callithrix kuhlii",27
"callithrix penicillata",136
"callocephalon fimbriatum",5
"callonetta leucophrys",2
"callorhinus ursinus",181
"callosciurus erythraeus",27
"callosciurus finlaysonii",8
"callosciurus notatus",9
"callosciurus prevostii",6
"callospermophilus lateralis",13
"caloenas nicobarica",2
"calomys callidus",7
"calomys callosus",112
"calomys fecundus",0
"calomys laucha",39
"calomys musculinus",62
"calomys tener",11
"caluromys derbianus",11
"caluromys philander",21
"calypte costae",6
"calyptomena viridis",2
"calyptorhynchus banksii",8
"calyptorhynchus lathami",2
"camarhynchus pallidus",0
"camelus bactrianus",177
"camelus dromedarius",1198
"canis adustus",21
"canis aureus",232
"canis latrans",435
"canis lupus",1270
"canis mesomelas",54
"canis simensis",27
"capra aegagrus",128
"capra falconeri",14
"capra hircus",1071
"capra ibex",262
"capra nubiana",22
"capra pyrenaica",127
"capra sibirica",12
"capreolus capreolus",783
"capricornis crispus",84
"capricornis sumatraensis",10
"caprimulgus europaeus",12
"caracal caracal",55
"caracara plancus",20
"cardinalis cardinalis",161
"cardioderma cor",3
"carduelis carduelis",171
"carollia brevicauda",21
"carollia perspicillata",199
"carollia sowelli",8
"carollia subrufa",1
"carpodacus erythrinus",9
"castor canadensis",146
"castor fiber",161
"cathartes aura",64
"catharus fuscescens",14
"catharus guttatus",13
"catharus ustulatus",39
"cavia porcellus",665
"cebuella pygmaea",49
"cebus albifrons",109
"cebus capucinus",179
"cebus imitator",23
"cebus olivaceus",24
"centrocercus urophasianus",79
"centropus phasianinus",3
"cephalopachus bancanus",3
"cephalophus callipygus",4
"cephalophus dorsalis",13
"cephalophus leucogaster",3
"cephalophus niger",3
"cephalophus nigrifrons",5
"cephalophus rufilatus",2
"cephalophus silvicultor",3
"cephalophus weynsi",1
"cephalophus zebra",0
"ceratotherium simum",210
"cercocebus agilis",13
"cercocebus atys",141
"cercocebus chrysogaster",4
"cercocebus galeritus",19
"cercocebus torquatus",76
"cercopithecus albogularis",22
"cercopithecus ascanius",61
"cercopithecus campbelli",29
"cercopithecus cephus",29
"cercopithecus denti",2
"cercopithecus diana",33
"cercopithecus erythrotis",7
"cercopithecus hamlyni",4
"cercopithecus kandti",4
"cercopithecus mitis",86
"cercopithecus mona",29
"cercopithecus neglectus",31
"cercopithecus nictitans",37
"cercopithecus petaurista",6
"cercopithecus pogonias",15
"cercopithecus wolfi",4
"cerdocyon thous",146
"cerradomys subflavus",7
"cervus canadensis",191
"cervus elaphus",1765
"cervus nippon",444
"chaerephon plicatus",3
"chaerephon pumilus",5
"chaetodipus hispidus",7
"chaetodipus penicillatus",5
"chaetodipus spinatus",2
"chaetophractus vellerosus",22
"chalcophaps indica",8
"charadrius alexandrinus",38
"charadrius melodus",13
"charmosyna josefinae",0
"chasiempis sandwichensis",0
"cheirogaleus medius",52
"chenonetta jubata",3
"cheracebus torquatus",3
"chinchilla chinchilla",1887
"chinchilla lanigera",128
"chionis albus",1
"chionomys nivalis",21
"chionomys roberti",3
"chironectes minimus",4
"chiropotes albinasus",1
"chiropotes chiropotes",82
"chiropotes satanas",28
"chiroxiphia caudata",8
"chlamydotis macqueenii",34
"chlamydotis undulata",63
"chlidonias hybrida",6
"chlidonias leucopterus",3
"chlidonias niger",2
"chloebia gouldiae",11
"chloephaga picta",4
"chloephaga poliocephala",1
"chloris chloris",225
"chlorocebus aethiops",210
"chlorocebus cynosuros",3
"chlorocebus pygerythrus",78
"chlorocebus sabaeus",112
"chlorocebus tantalus",7
"chlorodrepanis virens",5
"choeronycteris mexicana",10
"choloepus didactylus",48
"choloepus hoffmanni",73
"chondestes grammacus",5
"chroicocephalus brunnicephalus",2
"chroicocephalus cirrocephalus",0
"chroicocephalus genei",6
"chroicocephalus maculipennis",2
"chroicocephalus novaehollandiae",6
"chroicocephalus ridibundus",27
"chrotogale owstoni",0
"chrotopterus auritus",7
"chrysocyon brachyurus",107
"chrysolophus pictus",19
"ciconia boyciana",23
"ciconia ciconia",182
"ciconia nigra",18
"cinclus cinclus",47
"circaetus pectoralis",0
"circus aeruginosus",26
"circus cyaneus",20
"civettictis civetta",15
"clamator glandarius",25
"clanga pomarina",6
"clangula hyemalis",31
"coccothraustes coccothraustes",22
"coendou melanurus",1
"coendou mexicanus",1
"coendou prehensilis",16
"colaptes auratus",18
"colaptes campestris",5
"coleura afra",4
"colinus virginianus",297
"colobus angolensis",30
"colobus guereza",110
"colobus polykomos",37
"colobus vellerosus",23
"coloeus monedula",4
"columba guinea",15
"columba livia",1686
"columba oenas",8
"columba palumbus",48
"columba pulchricollis",1
"columbina passerina",13
"columbina picui",6
"columbina talpacoti",7
"conepatus chinga",20
"conepatus leuconotus",5
"connochaetes gnou",34
"connochaetes taurinus",100
"conopophaga aurita",1
"conopophila rufogularis",0
"contopus sordidulus",0
"contopus virens",2
"copsychus saularis",7
"coracias garrulus",19
"coracopsis vasa",4
"coragyps atratus",49
"corvus brachyrhynchos",114
"corvus corax",120
"corvus cornix",65
"corvus corone",110
"corvus coronoides",5
"corvus frugilegus",71
"corvus hawaiiensis",10
"corvus macrorhynchos",71
"corvus ossifragus",10
"corvus splendens",36
"corynorhinus rafinesquii",9
"corynorhinus townsendii",9
"corythornis cristatus",0
"corythornis leucogaster",0
"coscoroba coscoroba",9
"coturnix coturnix",2170
"coturnix japonica",1748
"cracticus torquatus",4
"crax fasciolata",3
"crex crex",48
"cricetomys emini",5
"cricetomys gambianus",115
"cricetulus barabensis",44
"cricetulus griseus",197
"cricetulus longicaudatus",5
"cricetulus migratorius",53
"cricetus cricetus",402
"crithagra mozambica",0
"crocidura attenuata",9
"crocidura douceti",1
"crocidura dsinezumi",7
"crocidura goliath",3
"crocidura grandiceps",0
"crocidura hirta",3
"crocidura lasiura",39
"crocidura leucodon",28
"crocidura littoralis",1
"crocidura luna",0
"crocidura montis",0
"crocidura olivieri",10
"crocidura russula",114
"crocidura shantungensis",8
"crocidura suaveolens",39
"crocuta crocuta",212
"crossoptilon auritum",5
"crossoptilon crossoptilon",20
"crotophaga sulcirostris",6
"ctenodactylus gundi",17
"cuculus canorus",116
"cuniculus paca",61
"cuon alpinus",31
"curruca curruca",9
"cyanistes caeruleus",247
"cyanocitta cristata",55
"cyanocompsa brissonii",1
"cyanoliseus patagonus",9
"cyanomitra olivacea",9
"cyanopica cyanus",11
"cyanopsitta spixii",6
"cyanoptila cyanomelana",1
"cyanoramphus auriceps",4
"cyanoramphus novaezelandiae",14
"cyanoramphus saisseti",1
"cyanoramphus unicolor",1
"cyclopes didactylus",8
"cygnus atratus",31
"cygnus bewickii",17
"cygnus buccinator",10
"cygnus columbianus",46
"cygnus cygnus",381
"cygnus melancoryphus",6
"cygnus olor",120
"cynictis penicillata",14
"cynomops abrasus",2
"cynomops planirostris",3
"cynomys leucurus",24
"cynomys ludovicianus",211
"cynopterus brachyotis",45
"cynopterus sphinx",69
"cystophora cristata",116
"dacelo novaeguineae",5
"dama dama",733
"damaliscus lunatus",23
"damaliscus pygargus",24
"dasycercus cristicauda",4
"dasymys incomtus",4
"dasymys rufulus",1
"dasyprocta fuliginosa",7
"dasyprocta leporina",49
"dasyprocta punctata",9
"dasypterus ega",1
"dasypterus intermedius",1
"dasypterus xanthinus",0
"dasypus novemcinctus",327
"daubentonia madagascariensis",72
"delichon urbicum",11
"delphinapterus leucas",330
"delphinus capensis",28
"delphinus delphis",206
"dendragapus obscurus",13
"dendrocopos major",12
"dendrocopos syriacus",2
"dendrocygna autumnalis",12
"dendrocygna javanica",2
"dendrocygna viduata",8
"dendrolagus goodfellowi",5
"dephomys defua",0
"deroptyus accipitrinus",2
"desmodillus auricularis",6
"desmodus rotundus",314
"diaemus youngi",13
"diceros bicornis",202
"diclidurus albus",0
"dicrostonyx groenlandicus",57
"didelphis albiventris",209
"didelphis aurita",96
"didelphis marsupialis",310
"didelphis virginiana",612
"dinaromys bogdanovi",1
"diopsittaca nobilis",6
"diphylla ecaudata",18
"diplomys labilis",0
"dipodillus campestris",4
"dipodillus dasyurus",16
"dipodomys californicus",12
"dipodomys heermanni",4
"dipodomys merriami",83
"dipodomys microps",8
"dipodomys nitratoides",1
"dipodomys ordii",45
"dipodomys panamintinus",10
"dipus sagitta",7
"diuca diuca",6
"dobsonia andersoni",0
"dobsonia moluccensis",2
"dolichotis patagonum",27
"dorcopsis veterum",0
"doryrhina cyclops",0
"dromaius novaehollandiae",181
"drymotoxeres pucheranii",0
"dryobates pubescens",2
"dryomys nitedula",17
"ducula bicolor",2
"dugong dugon",69
"dumetella carolinensis",30
"echinosorex gymnura",2
"eclectus roratus",32
"egretta caerulea",12
"egretta garzetta",80
"egretta novaehollandiae",3
"egretta thula",28
"egretta tricolor",9
"eidolon dupreanum",9
"eidolon helvum",115
"eira barbara",20
"elaphodus cephalophus",13
"elaphurus davidianus",67
"elephantulus myurus",30
"elephas maximus",564
"eliomys quercinus",102
"eliurus majori",1
"eliurus tanala",2
"elseyornis melanops",1
"emberiza calandra",5
"emberiza cioides",3
"emberiza citrinella",14
"emberiza elegans",5
"emberiza hortulana",9
"emberiza rustica",7
"emberiza schoeniclus",21
"emberiza spodocephala",10
"empidonax alnorum",2
"empidonax difficilis",1
"empidonax traillii",6
"enhydra lutris",214
"enicognathus ferrugineus",2
"enicognathus leptorhynchus",1
"eolophus roseicapilla",9
"eonycteris spelaea",29
"eos bornea",3
"eos cyanogenia",2
"eos reticulata",11
"eothenomys cachinus",2
"eothenomys chinensis",4
"eothenomys custos",2
"eothenomys eleusis",3
"eothenomys melanogaster",7
"eothenomys miletus",23
"epomophorus gambianus",14
"epomophorus labiatus",1
"epomophorus wahlbergi",14
"epomops buettikoferi",2
"epomops dobsonii",0
"epomops franqueti",12
"eptesicus brasiliensis",18
"eptesicus diminutus",2
"eptesicus furinalis",9
"eptesicus fuscus",504
"eptesicus isabellinus",11
"eptesicus serotinus",77
"equus asinus",402
"equus asinus x caballus",402
"equus burchellii",15
"equus caballus",778
"equus caballus x asinus",778
"equus ferus",104
"equus grevyi",46
"equus hemionus",77
"equus kiang",25
"equus przewalskii",101
"equus zebra",230
"eremophila alpestris",18
"erethizon dorsatum",56
"erignathus barbatus",58
"erinaceus europaeus",379
"erinaceus roumanicus",34
"erithacus rubecula",123
"erythrocebus patas",239
"erythrogonys cinctus",0
"erythrura psittacea",1
"eschrichtius robustus",64
"estrilda melpoda",2
"estrilda troglodytes",4
"eubalaena australis",64
"euderma maculatum",5
"eudocimus albus",31
"eudorcas thomsonii",5
"eudyptes chrysocome",48
"eudyptes chrysolophus",42
"eudyptula minor",93
"eulemur albifrons",12
"eulemur fulvus",120
"eulemur macaco",63
"eulemur mongoz",29
"eulemur rubriventer",33
"eulemur rufus",38
"eulidia yarrellii",0
"eumetopias jubatus",175
"eumops auripendulus",3
"eumops bonariensis",1
"eumops glaucinus",7
"eumops patagonicus",3
"eumops perotis",11
"eunymphicus cornutus",1
"euoticus elegantulus",3
"eupetomena macroura",12
"euphagus cyanocephalus",9
"euphonia violacea",1
"euphractus sexcinctus",49
"euplectes afer",6
"euplectes franciscanus",3
"euplectes orix",8
"eupodotis senegalensis",9
"eupsittula aurea",3
"eupsittula canicularis",1
"eupsittula pertinax",0
"eurillas latirostris",0
"eurillas virens",0
"euryoryzomys macconnelli",1
"euryzygomatomys spinosus",2
"falco biarmicus",14
"falco cherrug",54
"falco chicquera",1
"falco columbarius",27
"falco deiroleucus",3
"falco fasciinucha",3
"falco femoralis",7
"falco longipennis",1
"falco mexicanus",21
"falco naumanni",53
"falco peregrinus",207
"falco punctatus",8
"falco rusticolus",73
"falco sparverius",189
"falco subbuteo",12
"falco tinnunculus",164
"falco vespertinus",5
"felis catus",1148
"felis margarita",16
"felis nigripes",18
"felis silvestris",257
"feresa attenuata",9
"ficedula hypoleuca",247
"formicarius analis",1
"forpus coelestis",2
"forpus passerinus",12
"forpus xanthopterygius",1
"francolinus pintadeanus",4
"fratercula arctica",52
"fratercula cirrhata",14
"fratercula corniculata",8
"fregata andrewsi",3
"fregata minor",27
"fringilla coelebs",108
"fringilla montifringilla",13
"fulica alai",0
"fulica americana",56
"fulica armillata",0
"fulica atra",81
"fulica gigantea",0
"fulica rufifrons",0
"fulmarus glacialis",99
"funambulus pennantii",5
"funambulus tristriatus",1
"funisciurus anerythrus",3
"funisciurus pyrropus",1
"galago moholi",51
"galago senegalensis",155
"galagoides demidoff",2
"galerella pulverulenta",5
"galerella sanguinea",8
"galerida cristata",9
"galictis cuja",16
"gallicrex cinerea",1
"gallinago gallinago",39
"gallinula chloropus",36
"gallus gallus",4820
"garrulax canorus",8
"garrulax leucolophus",1
"garrulus glandarius",40
"gavia immer",75
"gavia stellata",16
"gazella arabica",7
"gazella cuvieri",19
"gazella dorcas",34
"gazella gazella",369
"gazella leptoceros",9
"gazella spekei",12
"gazella subgutturosa",64
"genetta genetta",80
"genetta maculata",6
"genetta tigrina",6
"geomys bursarius",19
"geopelia cuneata",15
"geopelia placida",1
"geopelia striata",6
"geospiza fortis",58
"geothlypis tolmiei",0
"geothlypis trichas",28
"geotrygon montana",3
"gerbilliscus brantsii",0
"gerbilliscus kempi",3
"gerbilliscus leucogaster",4
"gerbilliscus validus",0
"gerbillurus paeba",5
"gerbillus gerbillus",201
"gerbillus pyramidum",54
"gerygone albofrontata",0
"giraffa camelopardalis",218
"giraffa giraffa",227
"giraffa reticulata",28
"glaucidium brasilianum",8
"glaucidium passerinum",10
"glaucomys volans",33
"glauconycteris argentata",0
"glauconycteris poensis",2
"glauconycteris variegata",0
"glis glis",436
"globicephala macrorhynchus",50
"globicephala melas",111
"glossophaga commissarisi",9
"glossophaga longirostris",6
"glossophaga morenoi",1
"glossophaga soricina",108
"glossopsitta concinna",3
"golunda ellioti",3
"gorilla beringei",211
"gorilla beringei graueri",211
"gorilla gorilla",2378
"goura cristata",3
"gracula religiosa",20
"grallina cyanoleuca",6
"grammomys surdaster",9
"grampus griseus",101
"graomys griseoflavus",13
"grus americana",54
"grus grus",275
"grus japonensis",57
"grus leucogeranus",18
"grus monacha",19
"grus nigricollis",21
"grus paradisea",2
"grus virgo",4
"guaruba guarouba",6
"gubernatrix cristata",2
"guira guira",18
"gulo gulo",252
"gymnogyps californianus",44
"gymnorhina tibicen",18
"gypaetus barbatus",39
"gyps africanus",26
"gyps bengalensis",20
"gyps fulvus",84
"gyps himalayensis",12
"gyps rueppelli",1
"haematopus ater",2
"haematopus moquini",4
"haematopus ostralegus",46
"haematopus palliatus",7
"haematopus unicolor",3
"haemorhous mexicanus",74
"haemorhous purpureus",5
"halcyon senegalensis",1
"halcyon smyrnensis",11
"haliaeetus albicilla",91
"haliaeetus leucocephalus",180
"haliaeetus leucogaster",4
"haliaeetus pelagicus",6
"haliastur indus",4
"halichoerus grypus",367
"handleyomys alfaroi",1
"handleyomys fuscatus",0
"hapalemur aureus",10
"hapalemur griseus",46
"heimyscus fumosus",0
"helarctos malayanus",39
"heliosciurus gambianus",6
"heliosciurus rufobrachium",3
"hemiechinus auritus",40
"hemignathus flavus",0
"hemiphaga novaeseelandiae",4
"hemitragus jemlahicus",14
"herpestes ichneumon",37
"herpestes urva",4
"hesperiphona vespertina",1
"heteromys anomalus",6
"hexaprotodon liberiensis",11
"hieraaetus pennatus",15
"himantopus himantopus",48
"himantopus mexicanus",26
"himatione sanguinea",8
"hippolais icterina",6
"hippopotamus amphibius",90
"hipposideros abae",1
"hipposideros armiger",39
"hipposideros bicolor",8
"hipposideros caffer",9
"hipposideros cervinus",2
"hipposideros cineraceus",1
"hipposideros diadema",9
"hipposideros fuliginosus",6
"hipposideros galeritus",2
"hipposideros grandis",0
"hipposideros jonesi",0
"hipposideros lankadiva",5
"hipposideros larvatus",15
"hipposideros lekaguli",1
"hipposideros pomona",14
"hipposideros pratti",18
"hipposideros ruber",5
"hipposideros speoris",10
"hippotragus equinus",33
"hippotragus niger",44
"hirundo aethiopica",0
"hirundo neoxena",3
"hirundo rustica",256
"histiotus macrotus",1
"histiotus montanus",5
"histiotus velatus",5
"histrionicus histrionicus",30
"histriophoca fasciata",11
"holochilus brasiliensis",25
"hoolock hoolock",52
"hoplomys gymnurus",0
"hyaena hyaena",103
"hydrochoerus hydrochaeris",127
"hydromys chrysogaster",20
"hydropotes inermis",59
"hydrornis guajana",0
"hydrurga leptonyx",25
"hylaeamys laticeps",2
"hylaeamys megacephalus",15
"hylobates agilis",39
"hylobates albibarbis",12
"hylobates klossii",16
"hylobates lar",197
"hylobates moloch",31
"hylobates muelleri",19
"hylobates pileatus",34
"hylochoerus meinertzhageni",5
"hylocichla mustelina",31
"hylomyscus alleni",3
"hylomyscus endorobae",1
"hylomyscus pamfi",2
"hylomyscus parvus",2
"hylomyscus simus",4
"hylomyscus stella",4
"hylopetes phayrei",1
"hypocnemis cantator",1
"hypsignathus monstrosus",17
"hypsipetes amaurotis",8
"hypsugo pulveratus",3
"hypsugo savii",12
"hystrix africaeaustralis",18
"hystrix brachyura",11
"ia io",36
"ichneumia albicauda",6
"ichthyaetus ichthyaetus",7
"ichthyaetus leucophthalmus",0
"ichthyaetus melanocephalus",2
"icteria virens",5
"icterus galbula",7
"icterus prosthemelas",0
"icterus spurius",3
"ictidomys tridecemlineatus",136
"ictinia mississippiensis",3
"ictonyx striatus",9
"iduna pallida",0
"indopacetus pacificus",3
"indri indri",41
"inia geoffrensis",48
"irediparra gallinacea",1
"irena puella",4
"isleria hauxwelli",0
"isoodon macrourus",69
"isoodon obesulus",35
"ixobrychus eurhythmus",1
"ixobrychus exilis",3
"ixobrychus minutus",5
"ixobrychus sinensis",2
"jacana jacana",14
"jaculus orientalis",59
"junco hyemalis",160
"jynx torquilla",3
"kerivoula hardwickii",7
"kerivoula minuta",0
"kerivoula pellucida",2
"kobus ellipsiprymnus",35
"kobus kob",14
"kobus leche",40
"kobus megaceros",8
"kogia breviceps",74
"laephotis capensis",1
"lagenodelphis hosei",22
"lagenorhynchus acutus",48
"lagenorhynchus albirostris",29
"lagenorhynchus obliquidens",51
"lagenorhynchus obscurus",21
"lagopus lagopus",701
"lagopus muta",42
"lagorchestes conspicillatus",13
"lagothrix lagotricha",41
"lagurus lagurus",51
"lama glama",314
"lama guanicoe",90
"lanius collurio",26
